,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
115,30/06/2016,12,"No water, no cover",14.3125,13.11755952,,,,,,,,
116,30/06/2016,13,"No water, no cover",15.29166667,14.22023809,,,,,,,,
117,30/06/2016,14,Ambient,13.3125,13.33333333,,,,,,,,
118,30/06/2016,15,"Saturated, cover",15.41666667,14.42857143,,,,,,,,
119,30/06/2016,16,Ambient,15.47916667,14.35416667,,,,,,,,
120,30/06/2016,17,"Nothing, disturbed, cover",14.41666667,14.00892857,,,,,,,,
121,30/06/2016,18,"Nothing, disturbed, no cover",14.64583333,13.77083333,,,,,,,,
122,30/06/2016,2,"Saturated, no cover",14.375,13.83035714,,,,,,,,
123,30/06/2016,3,"Nothing, disturbed, no cover",14.41666667,13.92261905,,,,,,,,
124,30/06/2016,4,"Nothing, disturbed, cover",14.77083333,14.42261905,,,,,,,,
125,30/06/2016,5,"Light water, no cover",14.8125,14.59821429,,,,,,,,
126,30/06/2016,6,"No water, cover",16.20833333,15.35119048,,,,,,,,
127,30/06/2016,8,"No water, cover",15.4375,14.57440476,,,,,,,,
128,30/06/2016,9,"Saturated, no cover",15.52083333,14.24107143,,,,,,,,
129,01/07/2016,10,"Light water, no cover",13.1875,,,,,,,,,
130,01/07/2016,11,"Saturated, cover",13.625,,,,,,,,,
131,01/07/2016,12,"No water, no cover",13.04166667,,,,,,,,,
132,01/07/2016,13,"No water, no cover",14.25,,,,,,,,,
133,01/07/2016,14,Ambient,12.4375,,,,,,,,,
134,01/07/2016,15,"Saturated, cover",14.41666667,,,,,,,,,
135,01/07/2016,16,Ambient,14.25,,,,,,,,,
136,01/07/2016,17,"Nothing, disturbed, cover",14.125,,,,,,,,,
137,01/07/2016,18,"Nothing, disturbed, no cover",13.58333333,,,,,,,,,
138,01/07/2016,2,"Saturated, no cover",13.52083333,,,,,,,,,
139,01/07/2016,3,"Nothing, disturbed, no cover",13.4375,,,,,,,,,
140,01/07/2016,4,"Nothing, disturbed, cover",14.20833333,,,,,,,,,
141,01/07/2016,5,"Light water, no cover",14.1875,,,,,,,,,
142,01/07/2016,6,"No water, cover",15.70833333,,,,,,,,,
143,01/07/2016,8,"No water, cover",14.77083333,,,,,,,,,
144,01/07/2016,9,"Saturated, no cover",14.25,,,,,,,,,
145,02/07/2016,10,"Light water, no cover",13.10416667,,,,,,,,,
146,02/07/2016,11,"Saturated, cover",13.375,,,,,,,,,
147,02/07/2016,12,"No water, no cover",12.89583333,,,,,,,,,
148,02/07/2016,13,"No water, no cover",14,,,,,,,,,
149,02/07/2016,14,Ambient,12.3125,,,,,,,,,
150,02/07/2016,15,"Saturated, cover",13.91666667,,,,,,,,,
151,02/07/2016,16,Ambient,13.77083333,,,,,,,,,
152,02/07/2016,17,"Nothing, disturbed, cover",13.27083333,,,,,,,,,
153,02/07/2016,18,"Nothing, disturbed, no cover",13.20833333,,,,,,,,,
154,02/07/2016,2,"Saturated, no cover",13.25,,,,,,,,,
155,02/07/2016,3,"Nothing, disturbed, no cover",13.20833333,,,,,,,,,
156,02/07/2016,4,"Nothing, disturbed, cover",13.47916667,,,,,,,,,
