Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
274,07/07/2016,2,A,922,11.208333,,,,,,,,,,
275,07/07/2016,3,A,1049,6.875,,,,,,,,,,
276,07/07/2016,4,A,1175,3.916667,,,,,,,,,,
277,07/07/2016,4,B,1175,8.354167,,,,,,,,,,
278,07/07/2016,4,M,1175,7.9375,,,,,,,,,,
279,07/07/2016,4,T,1175,6.125,,,,,,,,,,
280,07/07/2016,5,A,1299,8.041667,,,,,,,,,,
281,07/07/2016,6,A,1425,7.729167,,,,,,,,,,
282,07/07/2016,7,B,1551,9.770833,,,,,,,,,,
283,07/07/2016,7,M,1551,8.645833,,,,,,,,,,
284,07/07/2016,7,T,1551,7.4375,,,,,,,,,,
285,07/07/2016,8,A,1684,3.625,,,,,,,,,,
267,07/07/2016,10,A,1926,4.770833,,,,,,,,,,
268,07/07/2016,10,B,1926,7.729167,,,,,,,,,,
269,07/07/2016,10,M,1926,6.333333,,,,,,,,,,
270,07/07/2016,10,T,1926,6.645833,,,,,,,,,,
290,08/07/2016,1,B,794,13.854167,13.64285729,,,,,,,,,
291,08/07/2016,1,M,794,12.395833,12.57142857,,,,,,,,,
292,08/07/2016,1,T,794,13.166667,13.35416671,,,,,,,,,
293,08/07/2016,2,A,922,12.125,12.75000014,,,,,,,,,
294,08/07/2016,3,A,1049,7.75,8.241071571,,,,,,,,,
295,08/07/2016,4,A,1175,4.416667,4.827380857,,,,,,,,,
296,08/07/2016,4,B,1175,9.5625,9.773809571,,,,,,,,,
297,08/07/2016,4,M,1175,8.895833,9.151785571,,,,,,,,,
298,08/07/2016,4,T,1175,6.833333,6.970238286,,,,,,,,,
299,08/07/2016,5,A,1299,8.8125,9.517857,,,,,,,,,
300,08/07/2016,6,A,1425,8.541667,9.258928571,,,,,,,,,
301,08/07/2016,7,B,1551,10.854167,11.27380971,,,,,,,,,
302,08/07/2016,7,M,1551,9.75,10.23214286,,,,,,,,,
303,08/07/2016,7,T,1551,8.125,8.580357143,,,,,,,,,
304,08/07/2016,8,A,1684,4.208333,4.666666571,,,,,,,,,
286,08/07/2016,10,A,1926,5.541667,7.342262,,,,,,,,,
287,08/07/2016,10,B,1926,9.291667,9.973214286,,,,,,,,,
288,08/07/2016,10,M,1926,8.0625,8.934523857,,,,,,,,,
289,08/07/2016,10,T,1926,7.5625,8.410714143,,,,,,,,,
309,09/07/2016,1,B,794,13.041667,,,,,,,,,,
310,09/07/2016,1,M,794,12,,,,,,,,,,
311,09/07/2016,1,T,794,13.145833,,,,,,,,,,
312,09/07/2016,2,A,922,12.479167,,,,,,,,,,
313,09/07/2016,3,A,1049,8.104167,,,,,,,,,,
314,09/07/2016,4,A,1175,4.583333,,,,,,,,,,
315,09/07/2016,4,B,1175,10,,,,,,,,,,
316,09/07/2016,4,M,1175,9.104167,,,,,,,,,,
317,09/07/2016,4,T,1175,7.354167,,,,,,,,,,
318,09/07/2016,5,A,1299,9.208333,,,,,,,,,,
319,09/07/2016,6,A,1425,8.875,,,,,,,,,,
320,09/07/2016,7,B,1551,12.104167,,,,,,,,,,
321,09/07/2016,7,M,1551,10.333333,,,,,,,,,,
322,09/07/2016,7,T,1551,8.604167,,,,,,,,,,
323,09/07/2016,8,A,1684,4.5625,,,,,,,,,,
305,09/07/2016,10,A,1926,6.291667,,,,,,,,,,
306,09/07/2016,10,B,1926,11.458333,,,,,,,,,,
307,09/07/2016,10,M,1926,9.541667,,,,,,,,,,
308,09/07/2016,10,T,1926,9.208333,,,,,,,,,,
328,10/07/2016,1,B,794,11.291667,,,,,,,,,,
329,10/07/2016,1,M,794,10.666667,,,,,,,,,,
330,10/07/2016,1,T,794,10.9375,,,,,,,,,,
331,10/07/2016,2,A,922,11.729167,,,,,,,,,,
332,10/07/2016,3,A,1049,7.166667,,,,,,,,,,
333,10/07/2016,4,A,1175,4.395833,,,,,,,,,,
334,10/07/2016,4,B,1175,7.875,,,,,,,,,,
335,10/07/2016,4,M,1175,8.125,,,,,,,,,,
336,10/07/2016,4,T,1175,6.416667,,,,,,,,,,
337,10/07/2016,5,A,1299,8.541667,,,,,,,,,,
338,10/07/2016,6,A,1425,8.270833,,,,,,,,,,
339,10/07/2016,7,B,1551,8.625,,,,,,,,,,
340,10/07/2016,7,M,1551,8.395833,,,,,,,,,,
341,10/07/2016,7,T,1551,7.4375,,,,,,,,,,
342,10/07/2016,8,A,1684,4.041667,,,,,,,,,,
324,10/07/2016,10,A,1926,6.4375,,,,,,,,,,
325,10/07/2016,10,B,1926,8.020833,,,,,,,,,,
326,10/07/2016,10,M,1926,6.770833,,,,,,,,,,
327,10/07/2016,10,T,1926,7.083333,,,,,,,,,,
347,11/07/2016,1,B,794,13.25,,,,,,,,,,
348,11/07/2016,1,M,794,12.333333,,,,,,,,,,
349,11/07/2016,1,T,794,12.895833,,,,,,,,,,
350,11/07/2016,2,A,922,12.729167,,,,,,,,,,
351,11/07/2016,3,A,1049,7.6875,,,,,,,,,,
352,11/07/2016,4,A,1175,4.770833,,,,,,,,,,
353,11/07/2016,4,B,1175,9.020833,,,,,,,,,,
354,11/07/2016,4,M,1175,8.833333,,,,,,,,,,
355,11/07/2016,4,T,1175,6.354167,,,,,,,,,,
356,11/07/2016,5,A,1299,8.958333,,,,,,,,,,
357,11/07/2016,6,A,1425,8.833333,,,,,,,,,,
358,11/07/2016,7,B,1551,9.854167,,,,,,,,,,
359,11/07/2016,7,M,1551,9.1875,,,,,,,,,,
360,11/07/2016,7,T,1551,7.833333,,,,,,,,,,
361,11/07/2016,8,A,1684,4.020833,,,,,,,,,,
343,11/07/2016,10,A,1926,7.895833,,,,,,,,,,
344,11/07/2016,10,B,1926,8.041667,,,,,,,,,,
345,11/07/2016,10,M,1926,8.4375,,,,,,,,,,
346,11/07/2016,10,T,1926,7.5625,,,,,,,,,,
366,12/07/2016,1,B,794,14.625,,,,,,,,,,
367,12/07/2016,1,M,794,13.375,,,,,,,,,,
368,12/07/2016,1,T,794,14.1875,,,,,,,,,,
369,12/07/2016,2,A,922,13.395833,,,,,,,,,,
370,12/07/2016,3,A,1049,8.375,,,,,,,,,,
371,12/07/2016,4,A,1175,5,,,,,,,,,,
372,12/07/2016,4,B,1175,10.104167,,,,,,,,,,
373,12/07/2016,4,M,1175,9.333333,,,,,,,,,,
374,12/07/2016,4,T,1175,6.4375,,,,,,,,,,
375,12/07/2016,5,A,1299,9.708333,,,,,,,,,,
376,12/07/2016,6,A,1425,9.604167,,,,,,,,,,
377,12/07/2016,7,B,1551,11.416667,,,,,,,,,,
378,12/07/2016,7,M,1551,10.479167,,,,,,,,,,
379,12/07/2016,7,T,1551,8.625,,,,,,,,,,
380,12/07/2016,8,A,1684,4.8125,,,,,,,,,,
362,12/07/2016,10,A,1926,8.479167,,,,,,,,,,
363,12/07/2016,10,B,1926,10.208333,,,,,,,,,,
364,12/07/2016,10,M,1926,9.541667,,,,,,,,,,
365,12/07/2016,10,T,1926,8.645833,,,,,,,,,,
385,13/07/2016,1,B,794,14.833333,,,,,,,,,,
386,13/07/2016,1,M,794,13.666667,,,,,,,,,,
387,13/07/2016,1,T,794,14.666667,,,,,,,,,,
388,13/07/2016,2,A,922,13.4375,,,,,,,,,,
389,13/07/2016,3,A,1049,9.0625,,,,,,,,,,
390,13/07/2016,4,A,1175,5.083333,,,,,,,,,,
391,13/07/2016,4,B,1175,10.854167,,,,,,,,,,
392,13/07/2016,4,M,1175,9.645833,,,,,,,,,,
393,13/07/2016,4,T,1175,7.354167,,,,,,,,,,
394,13/07/2016,5,A,1299,10.375,,,,,,,,,,
395,13/07/2016,6,A,1425,10.041667,,,,,,,,,,
396,13/07/2016,7,B,1551,12.479167,,,,,,,,,,
397,13/07/2016,7,M,1551,11.291667,,,,,,,,,,
398,13/07/2016,7,T,1551,9.3125,,,,,,,,,,
399,13/07/2016,8,A,1684,5.3125,,,,,,,,,,
381,13/07/2016,10,A,1926,8.229167,,,,,,,,,,
382,13/07/2016,10,B,1926,11.104167,,,,,,,,,,
383,13/07/2016,10,M,1926,9.916667,,,,,,,,,,
384,13/07/2016,10,T,1926,9.145833,,,,,,,,,,
404,14/07/2016,1,B,794,14.604167,,,,,,,,,,
405,14/07/2016,1,M,794,13.5625,,,,,,,,,,
406,14/07/2016,1,T,794,14.479167,,,,,,,,,,
407,14/07/2016,2,A,922,13.354167,,,,,,,,,,
408,14/07/2016,3,A,1049,9.541667,,,,,,,,,,
409,14/07/2016,4,A,1175,5.541667,,,,,,,,,,
410,14/07/2016,4,B,1175,11,,,,,,,,,,
411,14/07/2016,4,M,1175,10.125,,,,,,,,,,
