Treatment,Code,Moisture_VWC,Before/after,Date,Probe_type,Site
"Saturated, cover",H/C,1.5,Before,03/08/16,Chinese,
"Saturated, cover",H/C,2,After,03/08/16,Chinese,
"Saturated, no cover",H,6,Before,23/06/16,Chinese,
"Saturated, no cover",H,6,Before,02/07/16,Chinese,
"Saturated, no cover",H,7.75,After,02/07/16,Chinese,
"Saturated, no cover",H,5,Before,06/07/16,Chinese,
"Saturated, no cover",H,7,After,06/07/16,Chinese,
"Saturated, no cover",H,6.5,Before,09/07/16,Chinese,
"Saturated, no cover",H,6.5,After,09/07/16,Chinese,
"Saturated, no cover",H,6,Before,13/07/16,Chinese,
"Saturated, no cover",H,6,After,13/07/16,Chinese,
"Saturated, no cover",H,5,Before,16/07/16,Chinese,
"Saturated, no cover",H,6,After,16/07/16,Chinese,
"Saturated, no cover",H,4.5,Before,20/07/16,Chinese,
"Saturated, no cover",H,5,After,20/07/16,Chinese,
"Saturated, no cover",H,2,Before,23/07/16,Chinese,
"Saturated, no cover",H,2,After,23/07/16,Chinese,
"Saturated, no cover",H,2.5,Before,27/07/16,Chinese,
"Saturated, no cover",H,2.5,After,27/07/16,Chinese,
"Saturated, no cover",H,2,Before,30/07/16,Chinese,
"Saturated, no cover",H,2,After,30/07/16,Chinese,
"Saturated, no cover",H,3.5,Before,03/08/16,Chinese,
"Saturated, no cover",H,2.5,After,03/08/16,Chinese,
